question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,r1,r2,s,ground_truth
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.56989354,0.36956003,0.25054798,0.36956003,0.56989354,0.36956003,0.25054798,0.36956003,0.71428573,0,0.6931471805599453,1.1397871,4
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.27983698,0.0,0.0,0.0,0.27983698,0.0,0.0,0.0,0.42857146,1,0.4054651081081644,0.55967396,0
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.17414078,0.0,0.0,0.0046323417,0.17414078,0.0,0.0,0.0046323417,0.5714286,2,0.2876820724517809,0.34828156,0
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.08387024,0.008618996,0.0,0.008618996,0.08387024,0.008618996,0.0,0.008618996,0.42857146,3,0.22314355131420976,0.16774048,0
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.07019617,0.0,0.0,0.0,0.07019617,0.0,0.0,0.0,0.42857146,4,0.18232155679395462,0.14039233,0
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.06330644,0.0,0.0,0.0,0.06330644,0.0,0.0,0.0,0.5714286,5,0.1541506798272583,0.12661289,0
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.0631015,0.0,0.0015422315,0.0,0.0631015,0.0,0.0015422315,0.0,0.42857146,6,0.13353139262452263,0.126203,0
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.060424797,0.0034869548,0.0,0.0034869548,0.060424797,0.0034869548,0.0,0.0034869548,0.5714286,7,0.11778303565638346,0.120849594,0
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.047038432,0.0,0.0,0.0,0.047038432,0.0,0.0,0.0,0.2857143,8,0.1053605156578263,0.094076864,0
43e1b3e2-ddb4-4190-95e8-4813d2ccee73,0.045016926,0.0,0.0,0.0,0.045016926,0.0,0.0,0.0,0.2857143,9,0.09531017980432487,0.09003385,0
4fc474a4-0977-41b1-8fd7-ab9fcc972386,0.56989354,0.36956003,0.25054798,0.36956003,0.56989354,0.36956003,0.25054798,0.36956003,0.71428573,0,0.6931471805599453,1.1397871,4
4fc474a4-0977-41b1-8fd7-ab9fcc972386,0.36841953,0.0,0.0,0.0,0.36841953,0.0,0.0,0.0,0.5714286,1,0.4054651081081644,0.73683906,0
4fc474a4-0977-41b1-8fd7-ab9fcc972386,0.19109966,0.0,0.0,0.0,0.19109966,0.0,0.0,0.0,0.2857143,2,0.2876820724517809,0.38219932,0
4fc474a4-0977-41b1-8fd7-ab9fcc972386,0.16796672,0.0,0.0,0.0046323417,0.16796672,0.0,0.0,0.0046323417,0.42857146,3,0.22314355131420976,0.33593345,0
